,artikul,name,artikul_uraala,barcode
0,uraala001,"URA'ALA Порошок для умывания лица и тела ""Куркума"" 50 г",uraala012,4603741550191
1,uraala002,"URA'ALA Порошок для умывания лица и тела ""Куркума"" 100 г",uraala011,4603741550221
2,uraala003,"URA'ALA Порошок для умывания лица и тела ""Какао"" 50 г",uraala010,4603741550054
3,uraala004,"URA'ALA Порошок для умывания лица и тела ""Какао"" 100 г",uraala009,4603741550214
4,uraala005,"URA'ALA Порошок для умывания лица и тела ""Спирулина"" 100 г",uraala013,4603741550238
5,uraala006,"URA'ALA Порошок для умывания лица и тела ""Спирулина"" 50 г",uraala014,4603741550207
6,uraala007,"URA'ALA Чистка для лица ""DETOX"" 100 г",uraala062,4603741550665
7,uraala008,"URA'ALA Чистка для лица ""DETOX"" 50 г",uraala031,4603741550092
8,uraala009,"URA'ALA Чистка для лица ""BLACK"" 50 г",uraala036,4603741550481
9,uraala010,URA'ALA Маска для лица с витамином C 50 г,uraala037,4603741550498
10,uraala011,"URA'ALA Гидратирующий спрей для лица и волос ""3 в 1"",  100 мл",uraala002,4603741550085
11,uraala012,"URA'ALA  Cпрей для лица и волос ""3 в 1"", гидратирующий 30 мл",uraala043,4603741550351
12,uraala013,URA'ALA Крем с эффектом сияющей кожи: Увлажнение и Защита. LIKE IN ASIA,uraala069,4603741550757
13,uraala014,URA'ALA Крем со смягчащим эффектом: Правильное питание. Все на ПП!,uraala070,4603741550764
14,uraala015,"URA'ALA Тоник для лица, очищающий 100 мл",uraala008,4603741550023
15,uraala017,"URA'ALA Тоник для лица, смягчающий 100 мл",uraala015,4603741550146
16,uraala019,"URA'ALA  Тоник для лица, успокаивающий 100 мл",uraala030,4603741550153
17,uraala021,"URA'ALA Гидролат Лаванды, 100 мл",uraala066,4603741550689
18,uraala022,"URA'ALA Гидролат Лаванды, 50 мл",uraala065,4603741550696
19,uraala023,"URA'ALA Гидролат Мирры, 100 мл",uraala064,4603741550313
20,uraala024,"URA'ALA Гидролат Мирры, 50 мл",uraala039,4603741550344
21,uraala025,"URA'ALA Гидролат Олибанум, 100 мл",uraala063,4603741550306
22,uraala026,"URA'ALA Гидролат Олибанум, 50 мл",uraala038,4603741550337
23,uraala027,"URA'ALA Гидрофильное масло для нормальной кожи, 100 мл",uraala005,4603741550245
24,uraala029,"URA'ALA Гидрофильное масло для сухой кожи, 100 мл",uraala006,4603741550252
25,uraala031,"URA'ALA Гидрофильное масло для жирной кожи, 100 мл",uraala003,4603741550078
26,uraala033,"URA'ALA Гидрофильное масло для зрелой кожи, 100 мл",uraala004,4603741550269
27,uraala035,"URA'ALA  Увлажняющий гель для умывания, 100 мл",uraala054,4603741550535
28,uraala036,"URA'ALA Сыворотка для лица ""Активатор молодости"" с DMAE и кофеином, 30 мл",uraala068,4603741550733
29,uraala037,"URA'ALA Очищающая cыворотка для лица,  30 мл",uraala019,4603741550009
30,uraala038,"URA'ALA Увлажняющая сыворотка для лица, 30 мл",uraala029,4603741550139
31,uraala039,"URA'ALA Омолаживающая cыворотка для лица, 30 мл",uraala007,4603741550122
32,uraala040,"URA'ALA Твердый шампунь ""Активатор Роста"", 50 гр",uraala028,4603741550061
33,uraala041,"URA'ALA Твердый шампунь ""Активатор Роста"", 100 гр",uraala032,4603741550320
34,uraala048,URA'ALA Тающее масло ши АПЕЛЬСИН 100 мл,uraala057,4603741550627
35,uraala049,URA'ALA Тающее масло ши АПЕЛЬСИН 40 мл,uraala021,4603741550573
36,uraala050,URA'ALA Тающее масло ши ЖАСМИН 100 мл,uraala059,4603741550641
37,uraala051,URA'ALA Тающее масло ши ЖАСМИН 40 мл,uraala025,4603741550597
38,uraala052,URA'ALA Тающее масло ши ИЛАНГ-ИЛАНГ 100 мл,uraala061,4603741550634
39,uraala053,URA'ALA Тающее масло ши ИЛАНГ-ИЛАНГ 40 мл,uraala056,4603741550580
40,uraala054,URA'ALA Тающее масло ши КОКОС 100 мл,uraala058,4603741550658
41,uraala055,URA'ALA Тающее масло ши КОКОС 40 мл,uraala023,4603741550603
42,uraala056,URA'ALA Тающее масло ши ЛЕМОНГРАСС 100 мл,uraala060,4603741550610
43,uraala057,URA'ALA Тающее масло ши ЛЕМОНГРАСС 40 мл,uraala027,4603741550566
44,uraala042,URA'ALA Спрей для фиксации волос. Hard 100 мл,uraala016,4603741550177
45,uraala046,URA'ALA Спрей для фиксации волос. Medium 100 мл,uraala018,4603741550160
46,uraala044,URA'ALA Спрей для фиксации волос. Light 100 мл,uraala017,4603741550030
47,uraala058,URA'ALA Маска для лица с витамином С для чувствительной кожи,uraala072,4603741550788
48,uraala059,URA'ALA Увлажняющий гель для умывания в тубе,uraala067,4603741550740
49,uraala060,"URA'ALA Твердый бальзам-кондиционер для волос МОМЕНТАЛЬНОЕ ВОССТАНОВЛЕНИЕ, 45 г",uraala075,4603741550818
50,uraala061,"URA'ALA Твердый бальзам-кондиционер для волос МОМЕНТАЛЬНОЕ ВОССТАНОВЛЕНИЕ, 90 г",uraala076,4603741550825
51,uraala062,"URA'ALA Твёрдый шампунь СВЕЖЕСТЬ НАДОЛГО, 50 г",uraala073,4603741550795
52,uraala063,"URA'ALA Твёрдый шампунь СВЕЖЕСТЬ НАДОЛГО, 100 г",uraala074,4603741550801
53,uraala064,URA'ALA Набор для лица МЯГКАЯ КОЖА В ЛЮБУЮ ПОГОДУ,uraala078,4603741550849
54,uraala065,URA'ALA Набор для лица УВЛАЖНЕННАЯ КОЖА БЕЗ РАЗДРАЖЕНИЙ,uraala079,4603741550856
55,uraala066,URA'ALA КРЕПКИЕ и ШЕЛКОВИСТЫЕ ВОЛОСЫ,uraala080,4603741550863
